vuln_id,asset_id,cve_id,severity,cvss_score,cwe_type,discovery_date,status,patch_due_days,exploit_available
VULN-00718,AST-0121,CVE-2023-3329,Low,2.3,CWE-119,2026-01-19,Closed,90,No
VULN-00719,AST-0073,CVE-2023-7270,Low,3.9,CWE-119,2026-03-30,Risk Accepted,14,Yes
VULN-00720,AST-0374,CVE-2023-4438,High,7.9,CWE-89,2025-08-09,Open,14,No
VULN-00721,AST-0283,CVE-2023-7408,Low,0.2,CWE-200,2025-10-28,Closed,7,No
VULN-00722,AST-0365,CVE-2023-5646,Critical,9.1,CWE-20,2025-08-13,Open,90,Yes
VULN-00723,AST-0126,CVE-2023-9281,Critical,9.4,CWE-20,2025-12-29,Closed,60,Yes
VULN-00724,AST-0239,CVE-2023-8529,High,7.3,CWE-119,2025-09-20,Open,30,No
VULN-00725,AST-0314,CVE-2023-5065,High,7.3,CWE-119,2025-08-19,Open,7,No
VULN-00726,AST-0459,CVE-2023-2871,Critical,9.9,CWE-119,2025-09-18,Closed,90,No
VULN-00727,AST-0430,CVE-2023-9720,Medium,6.3,CWE-287,2026-01-10,In Progress,14,No
VULN-00728,AST-0086,CVE-2023-9499,Low,2.6,CWE-287,2025-08-07,Closed,7,No
VULN-00729,AST-0373,CVE-2023-5785,Low,1.0,CWE-20,2025-11-16,Open,60,No
VULN-00730,AST-0146,CVE-2023-3480,Critical,9.9,CWE-79,2025-06-03,Closed,90,Yes
VULN-00731,AST-0360,CVE-2023-5102,Critical,9.2,CWE-200,2025-06-28,Open,90,Yes
VULN-00732,AST-0007,CVE-2023-7224,Low,2.0,CWE-79,2025-09-25,In Progress,7,No
VULN-00733,AST-0291,CVE-2023-4490,High,7.5,CWE-200,2025-12-29,Risk Accepted,7,No
VULN-00734,AST-0127,CVE-2023-9428,Low,2.3,CWE-79,2026-04-15,Closed,60,Yes
VULN-00735,AST-0411,CVE-2023-2237,Low,1.9,CWE-20,2025-09-09,Risk Accepted,30,Yes
VULN-00736,AST-0490,CVE-2023-8996,Critical,10.0,CWE-89,2026-01-03,Closed,14,Yes
VULN-00737,AST-0077,CVE-2023-8303,Medium,6.2,CWE-20,2026-01-30,Risk Accepted,14,Yes
VULN-00738,AST-0032,CVE-2023-4559,Medium,4.5,CWE-79,2026-03-31,Closed,60,Yes
VULN-00739,AST-0309,CVE-2023-9474,Medium,4.4,CWE-20,2025-06-21,Closed,60,Yes
VULN-00740,AST-0083,CVE-2023-4090,Critical,9.2,CWE-200,2025-12-10,In Progress,60,No
VULN-00741,AST-0232,CVE-2023-6003,Critical,9.3,CWE-119,2025-11-22,Risk Accepted,7,No
VULN-00742,AST-0402,CVE-2023-7985,Critical,9.4,CWE-79,2025-08-09,Closed,90,Yes
VULN-00743,AST-0040,CVE-2023-9510,High,8.4,CWE-89,2025-09-19,Closed,90,No
VULN-00744,AST-0188,CVE-2023-2494,Low,0.4,CWE-200,2025-11-13,In Progress,14,No
VULN-00745,AST-0417,CVE-2023-7046,High,8.5,CWE-119,2026-03-04,Risk Accepted,7,Yes
VULN-00746,AST-0374,CVE-2023-2350,Low,3.8,CWE-20,2025-04-15,In Progress,7,Yes
VULN-00747,AST-0195,CVE-2023-4232,Low,1.1,CWE-287,2025-08-11,Risk Accepted,30,Yes
VULN-00748,AST-0030,CVE-2023-5065,Medium,4.1,CWE-200,2025-08-04,Open,30,Yes
VULN-00749,AST-0108,CVE-2023-3501,Low,2.8,CWE-89,2025-07-05,Closed,60,Yes
VULN-00750,AST-0334,CVE-2023-4742,Medium,6.6,CWE-20,2025-09-28,Closed,60,No
VULN-00751,AST-0441,CVE-2023-3999,High,8.3,CWE-20,2026-02-14,In Progress,60,No
VULN-00752,AST-0334,CVE-2023-6432,Critical,9.9,CWE-287,2025-11-26,Open,90,No
VULN-00753,AST-0470,CVE-2023-7276,Critical,9.9,CWE-89,2025-12-06,Risk Accepted,90,No
VULN-00754,AST-0322,CVE-2023-6986,Low,2.1,CWE-287,2025-12-25,Open,90,Yes
VULN-00755,AST-0031,CVE-2023-3298,Low,2.7,CWE-119,2025-08-18,Closed,60,Yes
VULN-00756,AST-0464,CVE-2023-4196,Critical,9.1,CWE-89,2025-10-12,Risk Accepted,7,Yes
VULN-00757,AST-0405,CVE-2023-6133,Critical,9.8,CWE-287,2025-10-03,Closed,14,Yes
VULN-00758,AST-0098,CVE-2023-3692,Medium,6.3,CWE-89,2025-10-03,Risk Accepted,30,Yes
VULN-00759,AST-0120,CVE-2023-6753,Medium,5.4,CWE-287,2026-01-02,In Progress,7,Yes
VULN-00760,AST-0030,CVE-2023-4228,Low,0.5,CWE-200,2025-07-06,Risk Accepted,14,Yes
VULN-00761,AST-0361,CVE-2023-3725,High,7.1,CWE-287,2025-10-30,Open,14,No
VULN-00762,AST-0124,CVE-2023-6152,High,8.7,CWE-20,2025-10-15,In Progress,7,No
VULN-00763,AST-0178,CVE-2023-1681,Low,0.1,CWE-287,2026-02-17,Open,30,No
VULN-00764,AST-0477,CVE-2023-6133,Low,1.1,CWE-200,2026-03-30,Risk Accepted,60,No
VULN-00765,AST-0488,CVE-2023-4996,Critical,9.9,CWE-79,2026-02-18,Closed,60,No
VULN-00766,AST-0024,CVE-2023-8912,Medium,4.0,CWE-20,2026-01-25,Open,90,Yes
VULN-00767,AST-0104,CVE-2023-7010,High,8.9,CWE-79,2025-06-19,In Progress,14,Yes
VULN-00768,AST-0372,CVE-2023-1848,Medium,4.9,CWE-287,2025-12-26,Open,7,No
VULN-00769,AST-0015,CVE-2023-3035,Low,3.2,CWE-287,2025-05-17,Closed,30,Yes
VULN-00770,AST-0201,CVE-2023-1753,Critical,9.5,CWE-20,2025-08-03,Open,30,Yes
VULN-00771,AST-0211,CVE-2023-2350,Critical,9.8,CWE-119,2025-11-01,Open,60,Yes
VULN-00772,AST-0062,CVE-2023-2046,Critical,10.0,CWE-79,2025-12-28,Risk Accepted,30,Yes
VULN-00773,AST-0298,CVE-2023-1225,High,7.1,CWE-119,2025-12-16,Open,30,No
VULN-00774,AST-0289,CVE-2023-5592,Critical,9.1,CWE-200,2025-12-11,Open,30,No
VULN-00775,AST-0441,CVE-2023-4090,Low,0.5,CWE-119,2025-08-23,In Progress,90,Yes
VULN-00776,AST-0005,CVE-2023-2195,Low,1.6,CWE-119,2025-05-21,Open,30,Yes
VULN-00777,AST-0418,CVE-2023-2631,Low,2.1,CWE-89,2026-02-26,Open,7,Yes
VULN-00778,AST-0053,CVE-2023-9377,Critical,9.6,CWE-89,2026-01-31,In Progress,90,No
VULN-00779,AST-0071,CVE-2023-6759,Medium,5.2,CWE-200,2025-07-15,Risk Accepted,14,Yes
VULN-00780,AST-0151,CVE-2023-6980,High,8.5,CWE-89,2026-01-01,Closed,90,No
VULN-00781,AST-0248,CVE-2023-3684,Medium,4.9,CWE-200,2025-08-13,In Progress,14,No
VULN-00782,AST-0466,CVE-2023-7367,Medium,5.7,CWE-20,2025-07-11,Open,90,Yes
VULN-00783,AST-0337,CVE-2023-7806,Critical,9.2,CWE-200,2026-02-22,Open,60,No
VULN-00784,AST-0032,CVE-2023-1017,High,8.9,CWE-89,2025-07-01,Open,30,Yes
VULN-00785,AST-0461,CVE-2023-4385,Low,2.7,CWE-200,2025-06-11,Closed,90,No
VULN-00786,AST-0086,CVE-2023-3469,Medium,5.2,CWE-79,2025-04-24,Risk Accepted,7,No
VULN-00787,AST-0237,CVE-2023-1017,High,8.0,CWE-89,2025-05-02,In Progress,60,Yes
VULN-00788,AST-0055,CVE-2023-4949,High,7.9,CWE-20,2025-07-19,Risk Accepted,14,No
VULN-00789,AST-0470,CVE-2023-2752,High,8.6,CWE-20,2025-10-16,Open,7,No
VULN-00790,AST-0223,CVE-2023-2615,Critical,9.6,CWE-20,2025-12-08,Risk Accepted,14,No
VULN-00791,AST-0291,CVE-2023-8801,Critical,10.0,CWE-89,2026-03-11,Closed,14,Yes
VULN-00792,AST-0091,CVE-2023-4043,Medium,6.1,CWE-200,2026-02-07,In Progress,14,Yes
VULN-00793,AST-0056,CVE-2023-4371,Critical,9.2,CWE-79,2025-05-13,Open,14,No
VULN-00794,AST-0370,CVE-2023-5919,Critical,9.3,CWE-20,2025-10-08,Risk Accepted,14,No
VULN-00795,AST-0033,CVE-2023-5179,Medium,5.9,CWE-200,2025-09-22,Risk Accepted,7,Yes
VULN-00796,AST-0408,CVE-2023-1725,High,8.7,CWE-89,2026-03-25,In Progress,90,No
VULN-00797,AST-0013,CVE-2023-8231,Medium,4.9,CWE-287,2025-12-15,In Progress,7,Yes
VULN-00798,AST-0206,CVE-2023-9369,Medium,6.3,CWE-89,2025-11-24,Open,30,Yes
VULN-00799,AST-0003,CVE-2023-7703,Low,0.9,CWE-119,2025-06-29,Open,14,No
VULN-00800,AST-0477,CVE-2023-3719,Medium,5.4,CWE-89,2026-01-18,Closed,30,No
VULN-00801,AST-0243,CVE-2023-6631,Low,1.9,CWE-119,2026-01-10,Open,14,Yes
VULN-00802,AST-0438,CVE-2023-8570,High,7.9,CWE-119,2025-09-11,In Progress,30,No
VULN-00803,AST-0207,CVE-2023-3734,Low,2.3,CWE-20,2025-10-23,Closed,90,Yes
VULN-00804,AST-0420,CVE-2023-2871,High,8.4,CWE-119,2025-09-17,Closed,14,Yes
VULN-00805,AST-0121,CVE-2023-7931,Low,2.0,CWE-119,2025-07-18,Risk Accepted,60,No
VULN-00806,AST-0410,CVE-2023-7743,Low,1.5,CWE-20,2025-06-11,Closed,60,Yes
VULN-00807,AST-0019,CVE-2023-5560,High,7.8,CWE-287,2025-12-25,Open,30,Yes
VULN-00808,AST-0410,CVE-2023-5055,Medium,6.4,CWE-200,2026-01-07,Open,30,Yes
VULN-00809,AST-0037,CVE-2023-1878,Critical,9.1,CWE-79,2025-04-17,In Progress,30,Yes
VULN-00810,AST-0359,CVE-2023-5942,Medium,4.7,CWE-287,2026-03-27,Closed,14,Yes
VULN-00811,AST-0354,CVE-2023-6766,Medium,4.0,CWE-20,2026-01-31,Closed,60,No
VULN-00812,AST-0024,CVE-2023-5055,Critical,9.5,CWE-89,2026-03-15,Risk Accepted,14,Yes
VULN-00813,AST-0036,CVE-2023-9019,High,7.9,CWE-200,2026-02-08,Risk Accepted,60,No
VULN-00814,AST-0232,CVE-2023-8460,Critical,9.3,CWE-119,2026-03-24,Risk Accepted,14,No
VULN-00815,AST-0030,CVE-2023-5922,Low,3.3,CWE-20,2025-05-26,In Progress,90,Yes
VULN-00816,AST-0009,CVE-2023-3219,Medium,6.7,CWE-119,2026-02-11,Closed,30,Yes
VULN-00817,AST-0006,CVE-2023-4090,Low,1.7,CWE-119,2025-09-27,Closed,30,Yes
VULN-00818,AST-0439,CVE-2023-8303,Critical,9.9,CWE-20,2025-07-08,Risk Accepted,60,Yes
VULN-00819,AST-0500,CVE-2023-9006,Low,0.3,CWE-89,2025-06-22,Risk Accepted,7,No
VULN-00820,AST-0150,CVE-2023-3826,Low,2.5,CWE-79,2026-02-21,In Progress,7,Yes
VULN-00821,AST-0422,CVE-2023-8009,Critical,9.8,CWE-119,2026-01-10,Open,14,Yes
VULN-00822,AST-0314,CVE-2023-9006,Critical,9.5,CWE-20,2025-11-02,In Progress,14,No
VULN-00823,AST-0417,CVE-2023-3236,Critical,9.5,CWE-200,2025-10-12,Open,14,No
VULN-00824,AST-0033,CVE-2023-7853,Low,1.6,CWE-89,2025-05-04,Risk Accepted,60,Yes
VULN-00825,AST-0470,CVE-2023-8118,Low,1.9,CWE-89,2025-11-17,In Progress,14,No
VULN-00826,AST-0392,CVE-2023-3165,Low,3.2,CWE-119,2025-07-20,In Progress,90,No
VULN-00827,AST-0268,CVE-2023-5902,High,8.0,CWE-119,2026-04-06,Closed,14,Yes
VULN-00828,AST-0134,CVE-2023-2350,High,7.8,CWE-119,2026-03-10,In Progress,90,No
VULN-00829,AST-0341,CVE-2023-9967,Low,1.8,CWE-79,2025-06-01,Open,30,No
VULN-00830,AST-0154,CVE-2023-8248,Medium,6.0,CWE-20,2025-10-09,Risk Accepted,90,Yes
VULN-00831,AST-0364,CVE-2023-7092,Low,1.0,CWE-200,2025-06-05,Risk Accepted,60,No
VULN-00832,AST-0036,CVE-2023-7932,High,8.3,CWE-119,2026-02-20,Open,14,Yes
VULN-00833,AST-0241,CVE-2023-7046,Medium,6.6,CWE-20,2025-10-12,Open,14,No
VULN-00834,AST-0474,CVE-2023-2037,Low,3.9,CWE-79,2025-12-30,Closed,7,Yes
VULN-00835,AST-0201,CVE-2023-6651,Medium,5.2,CWE-20,2025-11-07,In Progress,90,Yes
VULN-00836,AST-0068,CVE-2023-1017,Low,0.2,CWE-287,2025-11-18,Risk Accepted,60,No
VULN-00837,AST-0025,CVE-2023-1535,Low,3.4,CWE-79,2025-12-02,Open,30,Yes
VULN-00838,AST-0313,CVE-2023-9482,High,7.6,CWE-119,2025-08-16,Risk Accepted,60,Yes
VULN-00839,AST-0045,CVE-2023-4053,Critical,9.5,CWE-287,2026-02-02,Risk Accepted,14,No
VULN-00840,AST-0419,CVE-2023-2712,Medium,6.4,CWE-79,2026-03-27,Open,14,No
VULN-00841,AST-0196,CVE-2023-1505,Critical,9.5,CWE-89,2025-10-03,Open,7,No
VULN-00842,AST-0316,CVE-2023-2901,High,7.8,CWE-89,2025-12-08,Open,90,Yes
VULN-00843,AST-0206,CVE-2023-6077,Low,2.7,CWE-287,2026-02-25,Open,60,No
VULN-00844,AST-0302,CVE-2023-8501,Low,0.3,CWE-79,2026-01-19,Risk Accepted,14,Yes
VULN-00845,AST-0002,CVE-2023-2599,Medium,6.6,CWE-79,2026-03-27,Open,60,Yes
VULN-00846,AST-0266,CVE-2023-9537,Critical,9.3,CWE-287,2025-10-28,Open,14,Yes
VULN-00847,AST-0356,CVE-2023-6228,High,8.4,CWE-119,2025-09-27,Open,30,No
VULN-00848,AST-0132,CVE-2023-3734,High,8.2,CWE-200,2026-03-03,Risk Accepted,60,Yes
VULN-00849,AST-0068,CVE-2023-6154,High,7.4,CWE-20,2026-04-02,In Progress,7,No
VULN-00850,AST-0358,CVE-2023-1732,Medium,4.0,CWE-119,2025-11-13,In Progress,7,No
VULN-00851,AST-0254,CVE-2023-3684,Medium,4.1,CWE-89,2025-10-05,Risk Accepted,30,No
VULN-00852,AST-0376,CVE-2023-3830,Critical,9.7,CWE-200,2026-03-29,In Progress,30,Yes
VULN-00853,AST-0451,CVE-2023-9691,Medium,6.8,CWE-119,2025-06-15,In Progress,30,Yes
VULN-00854,AST-0283,CVE-2023-8826,Medium,6.8,CWE-119,2026-01-28,Open,30,Yes
VULN-00855,AST-0392,CVE-2023-1017,Low,1.6,CWE-287,2026-03-15,In Progress,90,Yes
VULN-00856,AST-0213,CVE-2023-1894,High,7.0,CWE-79,2025-10-16,Closed,14,No
VULN-00857,AST-0198,CVE-2023-6980,High,8.2,CWE-89,2025-10-06,Closed,60,No
VULN-00858,AST-0107,CVE-2023-8412,High,7.3,CWE-287,2025-07-24,Open,14,No
VULN-00859,AST-0426,CVE-2023-6003,Medium,4.4,CWE-287,2026-01-31,Open,90,No
VULN-00860,AST-0011,CVE-2023-3623,Medium,6.2,CWE-287,2025-07-20,Closed,30,Yes
VULN-00861,AST-0125,CVE-2023-1480,High,8.0,CWE-287,2026-03-07,In Progress,14,No
VULN-00862,AST-0437,CVE-2023-6005,Medium,4.5,CWE-79,2025-12-18,Open,60,Yes
VULN-00863,AST-0023,CVE-2023-2615,High,7.1,CWE-89,2025-07-31,In Progress,7,Yes
VULN-00864,AST-0246,CVE-2023-2133,High,7.4,CWE-119,2026-02-06,Risk Accepted,30,Yes
VULN-00865,AST-0369,CVE-2023-2406,High,7.5,CWE-200,2026-02-11,In Progress,30,No
VULN-00866,AST-0405,CVE-2023-8178,Low,3.8,CWE-20,2025-11-03,Risk Accepted,7,No
VULN-00867,AST-0153,CVE-2023-1972,Low,1.5,CWE-119,2025-10-20,Risk Accepted,90,No
VULN-00868,AST-0235,CVE-2023-8717,High,8.6,CWE-119,2025-12-14,Open,60,No
VULN-00869,AST-0048,CVE-2023-2262,Critical,9.8,CWE-20,2025-07-16,In Progress,90,Yes
VULN-00870,AST-0022,CVE-2023-5873,Medium,5.1,CWE-119,2025-07-30,Closed,60,No
VULN-00871,AST-0228,CVE-2023-2420,Critical,9.3,CWE-119,2025-10-02,In Progress,14,Yes
VULN-00872,AST-0098,CVE-2023-5543,Critical,9.0,CWE-287,2025-05-15,Closed,60,No
VULN-00873,AST-0431,CVE-2023-1579,Low,3.7,CWE-287,2026-01-17,Closed,60,No
VULN-00874,AST-0254,CVE-2023-8529,Medium,5.9,CWE-79,2025-08-03,Risk Accepted,7,Yes
VULN-00875,AST-0269,CVE-2023-3469,Low,3.6,CWE-89,2025-07-15,Risk Accepted,30,No
VULN-00876,AST-0081,CVE-2023-3236,Low,2.5,CWE-287,2025-07-29,Open,60,No
VULN-00877,AST-0059,CVE-2023-4290,High,7.5,CWE-20,2025-08-23,Open,14,No
VULN-00878,AST-0025,CVE-2023-9366,Low,3.7,CWE-20,2025-08-17,In Progress,90,Yes
VULN-00879,AST-0437,CVE-2023-3525,Critical,9.1,CWE-287,2026-03-27,Risk Accepted,60,Yes
VULN-00880,AST-0421,CVE-2023-6651,High,8.7,CWE-119,2025-11-10,Closed,30,No
VULN-00881,AST-0097,CVE-2023-4090,Medium,6.1,CWE-287,2025-05-16,Open,7,No
VULN-00882,AST-0027,CVE-2023-5919,High,7.5,CWE-287,2025-06-07,Risk Accepted,30,Yes
VULN-00883,AST-0442,CVE-2023-9123,High,8.6,CWE-79,2025-06-12,Open,60,No
VULN-00884,AST-0231,CVE-2023-2712,Medium,6.1,CWE-89,2025-07-13,Closed,14,Yes
VULN-00885,AST-0149,CVE-2023-3078,High,7.9,CWE-79,2025-09-10,Risk Accepted,90,Yes
VULN-00886,AST-0225,CVE-2023-9482,High,7.4,CWE-89,2026-01-09,In Progress,30,No
VULN-00887,AST-0145,CVE-2023-3711,Low,2.5,CWE-79,2025-06-13,In Progress,7,No
VULN-00888,AST-0053,CVE-2023-6340,Critical,9.4,CWE-79,2026-01-14,Closed,7,Yes
VULN-00889,AST-0337,CVE-2023-4921,Low,1.9,CWE-79,2025-07-07,Open,7,No
VULN-00890,AST-0205,CVE-2023-9951,Critical,9.7,CWE-79,2025-05-09,Open,14,Yes
VULN-00891,AST-0102,CVE-2023-6963,Low,2.4,CWE-20,2025-09-23,Risk Accepted,60,No
VULN-00892,AST-0445,CVE-2023-7022,Low,1.4,CWE-20,2025-09-20,Closed,14,No
VULN-00893,AST-0104,CVE-2023-7437,Low,1.5,CWE-20,2025-08-21,Closed,7,Yes
VULN-00894,AST-0339,CVE-2023-4683,Low,3.4,CWE-287,2025-11-11,In Progress,7,Yes
VULN-00895,AST-0361,CVE-2023-9348,Medium,5.4,CWE-89,2025-10-12,Closed,60,No
VULN-00896,AST-0338,CVE-2023-4203,Low,2.6,CWE-287,2025-09-23,Closed,7,No
VULN-00897,AST-0121,CVE-2023-5537,Critical,10.0,CWE-20,2025-05-09,Risk Accepted,14,No
VULN-00898,AST-0184,CVE-2023-8717,Low,2.9,CWE-79,2025-07-04,Closed,60,No
VULN-00899,AST-0451,CVE-2023-7431,Critical,9.7,CWE-200,2026-03-04,In Progress,14,Yes
VULN-00900,AST-0286,CVE-2023-5961,High,7.9,CWE-20,2025-09-25,Risk Accepted,14,No
VULN-00901,AST-0402,CVE-2023-8449,Critical,9.5,CWE-89,2025-09-13,In Progress,14,Yes
VULN-00902,AST-0282,CVE-2023-2420,Critical,9.1,CWE-79,2026-04-01,In Progress,30,No
VULN-00903,AST-0005,CVE-2023-7370,Medium,5.4,CWE-287,2026-02-07,Risk Accepted,7,Yes
VULN-00904,AST-0122,CVE-2023-3340,Low,0.4,CWE-20,2025-11-27,In Progress,90,Yes
VULN-00905,AST-0206,CVE-2023-2646,Medium,5.1,CWE-287,2026-01-10,Risk Accepted,90,No
VULN-00906,AST-0171,CVE-2023-6890,High,7.4,CWE-20,2025-04-22,Open,7,Yes
VULN-00907,AST-0294,CVE-2023-7024,Medium,6.1,CWE-89,2026-03-13,Open,90,No
VULN-00908,AST-0041,CVE-2023-1201,High,8.6,CWE-119,2026-03-23,Open,30,Yes
VULN-00909,AST-0403,CVE-2023-7010,High,8.6,CWE-20,2026-02-06,Closed,14,Yes
VULN-00910,AST-0265,CVE-2023-7046,Critical,9.4,CWE-119,2025-11-24,Closed,14,No
VULN-00911,AST-0426,CVE-2023-4882,High,7.9,CWE-89,2025-09-09,Closed,14,Yes
VULN-00912,AST-0164,CVE-2023-7270,Medium,4.9,CWE-79,2025-10-17,Closed,90,No
VULN-00913,AST-0190,CVE-2023-6753,High,7.9,CWE-119,2025-04-17,Open,30,Yes
VULN-00914,AST-0061,CVE-2023-3734,High,8.6,CWE-89,2025-08-29,Open,14,No
VULN-00915,AST-0262,CVE-2023-5693,Low,1.2,CWE-287,2025-08-08,In Progress,7,No
VULN-00916,AST-0152,CVE-2023-6747,Medium,5.2,CWE-20,2026-02-01,Risk Accepted,60,Yes
VULN-00917,AST-0384,CVE-2023-9128,Medium,4.8,CWE-89,2025-09-13,Risk Accepted,7,Yes
VULN-00918,AST-0103,CVE-2023-6631,Medium,6.2,CWE-79,2026-03-12,Closed,60,Yes
VULN-00919,AST-0032,CVE-2023-6302,High,7.8,CWE-20,2026-03-27,In Progress,14,Yes
VULN-00920,AST-0456,CVE-2023-3219,High,8.4,CWE-20,2026-03-05,Open,14,No
VULN-00921,AST-0323,CVE-2023-8909,Low,1.9,CWE-79,2025-09-24,Open,30,No
VULN-00922,AST-0191,CVE-2023-9796,High,8.8,CWE-200,2025-11-10,Closed,90,No
VULN-00923,AST-0167,CVE-2023-9808,High,8.2,CWE-89,2026-01-30,Open,7,Yes
VULN-00924,AST-0117,CVE-2023-7270,Low,2.0,CWE-200,2026-01-25,In Progress,60,Yes
VULN-00925,AST-0210,CVE-2023-4705,Low,3.4,CWE-119,2025-11-13,Closed,60,No
VULN-00926,AST-0121,CVE-2023-9180,Critical,9.1,CWE-79,2026-02-19,Risk Accepted,90,Yes
VULN-00927,AST-0485,CVE-2023-6533,Critical,9.6,CWE-119,2025-12-05,Closed,7,Yes
VULN-00928,AST-0286,CVE-2023-2276,Low,1.9,CWE-287,2026-03-29,Risk Accepted,30,Yes
VULN-00929,AST-0186,CVE-2023-4559,Critical,9.3,CWE-200,2025-07-09,In Progress,60,Yes
VULN-00930,AST-0144,CVE-2023-5558,Low,2.2,CWE-200,2025-10-21,Risk Accepted,7,Yes
VULN-00931,AST-0384,CVE-2023-3735,High,8.8,CWE-79,2025-07-09,In Progress,90,Yes
VULN-00932,AST-0187,CVE-2023-2106,Critical,9.6,CWE-20,2025-07-29,Open,7,Yes
VULN-00933,AST-0385,CVE-2023-5961,High,8.2,CWE-200,2025-10-01,Closed,7,Yes
VULN-00934,AST-0121,CVE-2023-1157,Critical,9.5,CWE-200,2025-10-20,In Progress,60,Yes
VULN-00935,AST-0040,CVE-2023-4742,High,7.6,CWE-200,2025-04-26,Closed,90,No
VULN-00936,AST-0206,CVE-2023-2120,High,8.1,CWE-20,2025-09-13,Closed,90,Yes
VULN-00937,AST-0188,CVE-2023-6228,Critical,9.7,CWE-89,2025-08-23,Open,14,Yes
VULN-00938,AST-0251,CVE-2023-1370,Medium,6.5,CWE-89,2025-12-30,In Progress,90,No
VULN-00939,AST-0118,CVE-2023-7092,Medium,4.4,CWE-119,2026-01-03,Open,90,No
VULN-00940,AST-0362,CVE-2023-5403,Medium,5.1,CWE-89,2026-02-18,Risk Accepted,60,Yes
VULN-00941,AST-0303,CVE-2023-5179,Medium,6.0,CWE-287,2025-09-19,In Progress,90,Yes
VULN-00942,AST-0247,CVE-2023-2667,Critical,9.6,CWE-287,2026-01-21,In Progress,30,Yes
VULN-00943,AST-0385,CVE-2023-4908,Low,3.2,CWE-119,2025-06-18,Risk Accepted,7,Yes
VULN-00944,AST-0171,CVE-2023-7600,Critical,9.3,CWE-79,2026-03-07,Risk Accepted,7,No
VULN-00945,AST-0347,CVE-2023-3258,Critical,9.4,CWE-20,2025-10-13,In Progress,14,No
VULN-00946,AST-0397,CVE-2023-1579,Critical,9.1,CWE-89,2026-04-07,Risk Accepted,7,Yes
VULN-00947,AST-0262,CVE-2023-3877,High,8.0,CWE-20,2025-06-03,Risk Accepted,7,No
VULN-00948,AST-0038,CVE-2023-5945,Medium,5.4,CWE-79,2025-12-12,Open,14,No
VULN-00949,AST-0356,CVE-2023-4534,Low,0.8,CWE-287,2025-11-08,Risk Accepted,60,Yes
VULN-00950,AST-0319,CVE-2023-5055,Medium,4.0,CWE-287,2025-04-25,In Progress,14,Yes
VULN-00951,AST-0046,CVE-2023-2025,Low,2.3,CWE-79,2026-04-02,Closed,14,No
VULN-00952,AST-0169,CVE-2023-4065,Low,0.8,CWE-119,2025-09-15,Closed,30,No
VULN-00953,AST-0340,CVE-2023-4909,High,7.6,CWE-79,2025-11-30,Closed,60,No
VULN-00954,AST-0380,CVE-2023-5773,Critical,9.6,CWE-287,2025-11-20,In Progress,7,Yes
VULN-00955,AST-0397,CVE-2023-9019,Critical,9.1,CWE-200,2025-12-28,Risk Accepted,7,No
VULN-00956,AST-0475,CVE-2023-7434,High,7.9,CWE-287,2025-04-25,Open,60,Yes
VULN-00957,AST-0283,CVE-2023-5942,High,8.7,CWE-79,2025-05-17,Risk Accepted,90,No
VULN-00958,AST-0249,CVE-2023-2975,High,8.9,CWE-200,2025-12-20,Open,90,No
VULN-00959,AST-0421,CVE-2023-3248,High,8.3,CWE-200,2025-09-28,In Progress,14,Yes
VULN-00960,AST-0339,CVE-2023-7434,Medium,6.4,CWE-20,2025-06-06,Open,60,No
VULN-00961,AST-0087,CVE-2023-1579,Low,0.7,CWE-79,2026-03-17,Closed,14,Yes
VULN-00962,AST-0247,CVE-2023-7431,Medium,4.9,CWE-20,2025-10-11,In Progress,7,No
VULN-00963,AST-0142,CVE-2023-6900,High,8.8,CWE-287,2025-06-24,Open,60,No
VULN-00964,AST-0153,CVE-2023-6905,Critical,9.4,CWE-119,2025-05-04,Closed,30,No
VULN-00965,AST-0357,CVE-2023-6680,Critical,9.5,CWE-287,2025-07-25,In Progress,60,No
VULN-00966,AST-0152,CVE-2023-9428,Critical,9.1,CWE-89,2025-09-09,Open,90,Yes
VULN-00967,AST-0247,CVE-2023-5740,Low,0.6,CWE-79,2025-08-20,In Progress,30,Yes
VULN-00968,AST-0352,CVE-2023-6766,Low,1.6,CWE-20,2025-07-06,Risk Accepted,14,No
VULN-00969,AST-0312,CVE-2023-1132,Critical,10.0,CWE-119,2025-10-08,In Progress,14,No
VULN-00970,AST-0467,CVE-2023-1185,Low,1.9,CWE-287,2025-08-19,In Progress,7,Yes
VULN-00971,AST-0363,CVE-2023-5785,Medium,4.1,CWE-119,2025-08-24,Closed,7,Yes
VULN-00972,AST-0264,CVE-2023-8729,High,8.8,CWE-287,2026-02-04,Closed,7,No
VULN-00973,AST-0183,CVE-2023-2106,Low,2.2,CWE-287,2026-03-22,In Progress,30,No
VULN-00974,AST-0209,CVE-2023-1753,Low,0.6,CWE-79,2025-09-09,Open,14,Yes
VULN-00975,AST-0160,CVE-2023-2847,Medium,5.5,CWE-287,2025-08-01,In Progress,7,No
VULN-00976,AST-0299,CVE-2023-2380,Low,3.8,CWE-79,2026-02-01,Risk Accepted,60,No
VULN-00977,AST-0212,CVE-2023-4921,Medium,5.4,CWE-119,2026-03-04,In Progress,90,Yes
VULN-00978,AST-0137,CVE-2023-2847,High,7.5,CWE-79,2025-09-25,Closed,14,No
VULN-00979,AST-0131,CVE-2023-3162,High,7.9,CWE-79,2025-07-21,In Progress,14,Yes
